date,prec_AGCD,prec_SILO,PET_morton,sf_mmd
1970-12-12,0.0,0.0,6.518667,0.324591
1970-12-13,0.54343,0.230871,6.830095,0.296245
1970-12-14,0.0,0.0,6.329143,0.270122
1970-12-15,0.0,0.0,6.670667,0.254559
1970-12-16,0.0,0.0,6.331048,0.245111
1970-12-17,0.00066,0.0,5.778476,0.230104
1970-12-18,1.788531,0.7891,6.284,0.221211
1970-12-19,0.668038,0.896859,5.938476,0.233994
1970-12-20,7.114957,8.730468,4.199048,0.268454
1970-12-21,28.126006,22.65825,4.829524,1.084378
1970-12-22,7.600727,14.50886,4.514095,0.991558
1970-12-23,10.258108,9.384117,3.560381,0.871504
1970-12-24,26.64904,24.914638,4.668572,3.775591
1970-12-25,16.97457,15.245094,5.16,4.302496
1970-12-26,10.30593,20.023948,5.993333,5.460796
1970-12-27,8.480407,13.829632,4.605143,2.735678
1970-12-28,9.204077,6.273283,2.524952,1.691318
1970-12-29,29.147065,28.662588,4.669714,1.382846
1970-12-30,2.313735,4.174396,3.967619,1.246673
1970-12-31,1.432641,3.17097,6.581714,0.989335
1971-01-01,0.232721,0.032355,6.784381,0.842046
1971-01-02,0.0,0.0,5.670667,0.711432
1971-01-03,0.0,0.0,6.317714,0.621391
1971-01-04,0.0,0.0,6.103429,0.554695
1971-01-05,0.0,0.0,5.915048,0.528016
1971-01-06,0.763624,0.590431,6.10381,0.474658
1971-01-07,8.95325,5.531588,4.233714,0.466321
1971-01-08,8.72149,9.622975,4.604381,0.583596
1971-01-09,7.231817,8.138429,4.401524,0.868725
1971-01-10,8.886483,11.081652,6.880381,1.41675
1971-01-11,2.042565,2.714453,5.840952,0.873727
1971-01-12,0.00293,0.0,6.530095,0.586931
1971-01-13,0.0,0.0,5.673714,0.508007
1971-01-14,0.0,0.0,6.366857,0.48633
1971-01-15,0.0,0.0,5.232762,0.474103
1971-01-16,0.289457,0.0,4.705143,0.441866
1971-01-17,0.358358,0.003994,5.485333,0.422413
1971-01-18,3.682697,1.907391,3.729333,0.422413
1971-01-19,2.584847,2.655785,5.566476,0.422413
1971-01-20,0.493726,1.17998,4.968952,0.422413
1971-01-21,0.0,0.0,5.985333,0.410741
1971-01-22,0.636246,0.347993,2.299429,0.391843
1971-01-23,6.944996,3.971362,3.899619,0.391843
1971-01-24,33.392874,31.824176,5.356381,1.341716
1971-01-25,0.064542,0.636682,4.90381,0.790356
1971-01-26,9.702788,7.118842,4.531048,0.397401
1971-01-27,5.404961,3.943015,5.075429,0.502449
1971-01-28,0.088679,0.033516,4.908191,0.730329
1971-01-29,20.480714,23.203517,5.244762,1.078264
1971-01-30,5.56827,11.625668,4.924762,1.206099
1971-01-31,1.468795,0.948356,4.896191,0.731997
1971-02-01,4.197688,1.678975,5.144191,1.305589
1971-02-02,7.884563,4.557277,5.335048,1.018237
1971-02-03,13.335619,14.526217,5.709905,1.406745
1971-02-04,2.374191,1.319009,6.752762,1.077152
1971-02-05,0.36623,0.0,6.224953,0.894292
1971-02-06,12.085311,7.991014,5.388762,0.712544
1971-02-07,13.402245,11.248354,6.475429,0.663633
1971-02-08,20.339072,16.960547,4.018095,0.663077
1971-02-09,84.76109,91.316563,4.257334,12.639033
1971-02-10,10.913549,6.957644,4.856953,6.121649
1971-02-11,10.928391,12.956352,3.828762,4.406431
1971-02-12,29.814974,24.884152,5.188762,4.930001
1971-02-13,9.047015,12.131842,5.594095,6.695241
1971-02-14,7.457597,5.595388,6.039619,3.500467
1971-02-15,0.090389,0.118257,5.15981,3.035258
1971-02-16,60.919859,46.96817,1.899429,2.651196
1971-02-17,151.027519,157.530405,2.434667,91.104971
1971-02-18,69.15191,69.578643,2.898667,62.520414
1971-02-19,11.339306,8.59745,2.879048,28.316658
1971-02-20,27.37184,30.433493,3.076191,18.585603
1971-02-21,1.726957,1.07669,5.062095,17.937533
1971-02-22,4.336088,4.783394,6.244953,12.247189
1971-02-23,8.259914,7.465503,5.360381,9.66936
1971-02-24,9.415759,7.990586,4.305143,8.067527
1971-02-25,9.505277,8.06242,3.969714,7.787956
1971-02-26,21.957029,17.233295,3.715048,7.090975
1971-02-27,17.18607,20.122255,2.088,7.371102
1971-02-28,25.834944,40.551592,3.154286,20.049041
1971-03-01,8.487344,11.31555,3.165905,11.441826
1971-03-02,19.387124,21.013527,4.46781,11.693051
1971-03-03,13.300329,15.158396,2.175238,11.127796
1971-03-04,136.177174,154.720884,2.804,36.569268
1971-03-05,82.56877,85.292151,3.824952,69.978222
1971-03-06,14.706789,17.739922,3.907048,43.956488
1971-03-07,7.630443,6.811924,2.421905,22.989255
1971-03-08,27.25623,20.455357,3.558286,20.809384
1971-03-09,39.829767,35.78318,2.285333,21.160097
1971-03-10,57.605965,60.985265,1.98019,44.855226
1971-03-11,32.387796,27.829423,1.479619,38.072724
1971-03-12,25.882277,21.933438,3.646095,35.698875
1971-03-13,8.162615,5.517307,3.875048,35.407077
1971-03-14,4.655465,3.117456,2.932571,26.962158
1971-03-15,3.809293,4.619007,3.487429,23.958026
1971-03-16,4.246016,18.696948,1.757333,35.582712
1971-03-17,114.150694,139.978036,1.866095,26.728164
1971-03-18,43.215296,44.82224,4.07581,79.27019
1971-03-19,5.429453,9.390076,4.716,42.460258
1971-03-20,1.804719,0.8228,3.951619,32.357924
1971-03-21,1.044924,0.951175,5.165333,25.960595
1971-03-22,0.493754,0.434073,4.255619,22.181669
1971-03-23,0.559859,0.585806,5.171429,19.358174
1971-03-24,0.616899,0.399018,4.84,16.990439
1971-03-25,2.740428,1.733305,3.342667,14.707187
1971-03-26,2.36417,1.349445,2.344762,12.535097
1971-03-27,2.458198,1.37118,4.117714,10.637575
1971-03-28,3.85957,4.574841,4.697714,9.124114
1971-03-29,3.996622,3.445285,2.596572,8.02473
1971-03-30,7.887612,3.96682,1.735048,7.478372
1971-03-31,20.823077,11.9424,1.253143,8.263171
1971-04-01,32.674576,22.803194,1.508952,22.411773
1971-04-02,5.518413,1.426976,3.707429,19.189209
1971-04-03,1.047455,0.464129,3.669333,14.170834
1971-04-04,0.987584,0.663395,2.996952,12.073778
1971-04-05,0.818021,0.138079,4.185333,10.910475
1971-04-06,1.773635,0.975594,2.967619,10.311872
1971-04-07,0.72968,0.2634,2.890286,9.995063
1971-04-08,2.30237,0.507599,3.616381,9.757178
1971-04-09,0.710871,0.347019,3.186095,9.523183
1971-04-10,6.652299,4.957702,2.056,9.335876
1971-04-11,57.960474,33.539015,1.409143,13.428833
1971-04-12,17.846399,12.188118,1.358095,23.462802
1971-04-13,15.263705,12.031793,2.318095,15.11904
1971-04-14,4.320919,6.451563,1.506476,12.422268
1971-04-15,4.757029,1.05406,2.087429,11.160588
1971-04-16,4.924494,3.691332,2.730667,10.553648
1971-04-17,3.945121,5.234387,3.227429,10.142907
1971-04-18,5.04277,2.398429,3.122476,9.71438
1971-04-19,4.665798,2.958983,3.098095,9.364223
1971-04-20,0.0,0.0,3.431238,8.977937
1971-04-21,49.931553,43.690042,1.713333,14.069678
1971-04-22,28.189018,18.733868,1.286667,26.633121
1971-04-23,10.539786,5.582815,1.327238,17.546245
1971-04-24,0.264109,0.421889,2.000952,14.831132
1971-04-25,0.716598,0.711227,3.151238,13.793442
1971-04-26,0.870246,0.078285,4.584381,13.023651
1971-04-27,0.505126,0.370235,4.838476,12.307772
1971-04-28,0.0,0.0,4.113714,11.533534
1971-04-29,0.0,0.0,3.405905,10.782084
1971-04-30,0.0,0.0,3.043429,10.10011
1971-05-01,0.0,0.0,4.0,9.553753
1971-05-02,0.0,0.0,3.090095,9.04908
1971-05-03,0.0,0.0,3.465333,8.491607
1971-05-04,0.0,0.0,2.697714,7.908566
1971-05-05,0.0,0.0,3.502667,7.361097
1971-05-06,0.0,0.0,2.537333,6.914785
1971-05-07,0.0,0.0,3.655048,6.424008
1971-05-08,0.0,0.0,1.889905,5.985477
1971-05-09,0.0,0.0,2.865714,5.548057
1971-05-10,0.0,0.0,4.126286,5.054501
1971-05-11,0.0,0.0,3.641143,4.631533
1971-05-12,0.0,0.0,3.533714,4.22635
1971-05-13,0.0,0.0,3.919048,3.838398
1971-05-14,0.0,0.0,3.333333,3.468786
1971-05-15,0.034881,0.0,3.800952,3.116405
1971-05-16,0.0,0.0,3.153905,2.831277
1971-05-17,5.424924,4.236528,2.761905,2.612289
1971-05-18,12.639492,8.652334,3.075048,2.421092
1971-05-19,24.754518,10.444742,3.042095,3.698334
1971-05-20,5.040162,3.140348,3.420381,3.449889
